EAN,SKU,Reference,Style,color,UK Size,article_number,outer_material,brand,EU Size,comodity,MRP,PPCN
8909443019148,DISNEY6400NAVYKBRV-24,MISS CHIEF DISNEY 6400,DISNEY6400KBRV,Navy-Yellow,5C,DISNEY6400NAVYKBRV,EVA,Miss & Chief,24,Clogs,1699,24
8909443019155,DISNEY6400NAVYKBRV-25,MISS CHIEF DISNEY 6400,DISNEY6400KBRV,Navy-Yellow,6C,DISNEY6400NAVYKBRV,EVA,Miss & Chief,25,Clogs,1699,24
8909443019162,DISNEY6400NAVYKBRV-26,MISS CHIEF DISNEY 6400,DISNEY6400KBRV,Navy-Yellow,7C,DISNEY6400NAVYKBRV,EVA,Miss & Chief,26,Clogs,1699,24
8909443019179,DISNEY6400NAVYKBRV-27,MISS CHIEF DISNEY 6400,DISNEY6400KBRV,Navy-Yellow,8C,DISNEY6400NAVYKBRV,EVA,Miss & Chief,27,Clogs,1699,24
8909443019186,DISNEY6400NAVYKBRV-28,MISS CHIEF DISNEY 6400,DISNEY6400KBRV,Navy-Yellow,9C,DISNEY6400NAVYKBRV,EVA,Miss & Chief,28,Clogs,1699,24
8909443019193,DISNEY6400NAVYKBRV-29,MISS CHIEF DISNEY 6400,DISNEY6400KBRV,Navy-Yellow,10C,DISNEY6400NAVYKBRV,EVA,Miss & Chief,29,Clogs,1699,24
8909443019209,DISNEY6400NAVYKBRV-30,MISS CHIEF DISNEY 6400,DISNEY6400KBRV,Navy-Yellow,11C,DISNEY6400NAVYKBRV,EVA,Miss & Chief,30,Clogs,1699,24
8909443019216,DISNEY6400NAVYKBRV-31,MISS CHIEF DISNEY 6400,DISNEY6400KBRV,Navy-Yellow,12C,DISNEY6400NAVYKBRV,EVA,Miss & Chief,31,Clogs,1699,24
8909443019223,DISNEY6400NAVYKBRV-32,MISS CHIEF DISNEY 6400,DISNEY6400KBRV,Navy-Yellow,13C,DISNEY6400NAVYKBRV,EVA,Miss & Chief,32,Clogs,1699,24
8909443019230,DISNEY6400NAVYKBRV-33,MISS CHIEF DISNEY 6400,DISNEY6400KBRV,Navy-Yellow,1,DISNEY6400NAVYKBRV,EVA,Miss & Chief,33,Clogs,1699,24
8909443019247,DISNEY6400NAVYKBRV-34,MISS CHIEF DISNEY 6400,DISNEY6400KBRV,Navy-Yellow,2,DISNEY6400NAVYKBRV,EVA,Miss & Chief,34,Clogs,1699,24
8909443019254,DISNEY6400NAVYKBRV-35,MISS CHIEF DISNEY 6400,DISNEY6400KBRV,Navy-Yellow,3,DISNEY6400NAVYKBRV,EVA,Miss & Chief,35,Clogs,1699,24
8909443019025,DISNEY6400REDKBRV-24,MISS CHIEF DISNEY 6400,DISNEY6400KBRV,Red-Navy,5C,DISNEY6400REDKBRV,EVA,Miss & Chief,24,Clogs,1699,24
8909443019032,DISNEY6400REDKBRV-25,MISS CHIEF DISNEY 6400,DISNEY6400KBRV,Red-Navy,6C,DISNEY6400REDKBRV,EVA,Miss & Chief,25,Clogs,1699,24
8909443019049,DISNEY6400REDKBRV-26,MISS CHIEF DISNEY 6400,DISNEY6400KBRV,Red-Navy,7C,DISNEY6400REDKBRV,EVA,Miss & Chief,26,Clogs,1699,24
8909443019056,DISNEY6400REDKBRV-27,MISS CHIEF DISNEY 6400,DISNEY6400KBRV,Red-Navy,8C,DISNEY6400REDKBRV,EVA,Miss & Chief,27,Clogs,1699,24
8909443019063,DISNEY6400REDKBRV-28,MISS CHIEF DISNEY 6400,DISNEY6400KBRV,Red-Navy,9C,DISNEY6400REDKBRV,EVA,Miss & Chief,28,Clogs,1699,24
8909443019070,DISNEY6400REDKBRV-29,MISS CHIEF DISNEY 6400,DISNEY6400KBRV,Red-Navy,10C,DISNEY6400REDKBRV,EVA,Miss & Chief,29,Clogs,1699,24
8909443019087,DISNEY6400REDKBRV-30,MISS CHIEF DISNEY 6400,DISNEY6400KBRV,Red-Navy,11C,DISNEY6400REDKBRV,EVA,Miss & Chief,30,Clogs,1699,24
8909443019094,DISNEY6400REDKBRV-31,MISS CHIEF DISNEY 6400,DISNEY6400KBRV,Red-Navy,12C,DISNEY6400REDKBRV,EVA,Miss & Chief,31,Clogs,1699,24
8909443019100,DISNEY6400REDKBRV-32,MISS CHIEF DISNEY 6400,DISNEY6400KBRV,Red-Navy,13C,DISNEY6400REDKBRV,EVA,Miss & Chief,32,Clogs,1699,24
8909443019117,DISNEY6400REDKBRV-33,MISS CHIEF DISNEY 6400,DISNEY6400KBRV,Red-Navy,1,DISNEY6400REDKBRV,EVA,Miss & Chief,33,Clogs,1699,24
8909443019124,DISNEY6400REDKBRV-34,MISS CHIEF DISNEY 6400,DISNEY6400KBRV,Red-Navy,2,DISNEY6400REDKBRV,EVA,Miss & Chief,34,Clogs,1699,24
8909443019131,DISNEY6400REDKBRV-35,MISS CHIEF DISNEY 6400,DISNEY6400KBRV,Red-Navy,3,DISNEY6400REDKBRV,EVA,Miss & Chief,35,Clogs,1699,24
